literature_id,reference_short,doi,year,source_dataset,formulation_id,electrolyte,method,current_ma_cm2,capacity_mah_cm2,cycle,ce_percent,lce,reference_id,solvent_1_volume_fraction,solvent_2_volume_fraction,solvent_3_volume_fraction,solvent_1_molarity,solvent_2_molarity,solvent_3_molarity,salt_1_molarity,salt_2_molarity,salt_3_molarity,fc,oc,fo,inor,f_total,f_solvent,f_anion,o_total,o_solvent,o_anion,c_total,c_solvent,c_anion,reference_text
cui2023_021,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_litfsi_ec_dmc_1_1_v_5wt_fec,1 M LiTFSI EC-DMC (1:1 v) 5wt% FEC,Cycle,0.5,0.5,50.0,92.2,1.1079053973095199,40.0,0.5,0.5,0.05,7.494719629352049,5.9392970536646015,0.6854998397043016,1.0,,,0.15071502347999757,1.045087136966161,0.1442128777103852,1.2634328658954,0.039541912748719335,0.004054442524980672,0.03548747022373867,0.2741912745693154,0.25053296108682294,0.023658313482492442,0.2623621178280692,0.25053296108682294,0.011829156741246221,"Liu, B. et al. Importance of oxygen in the metal-free catalytic growth of single-walled carbon nanotubes from SiO x by a vapor-solid-solid mechanism. J. Am. Chem. Soc. 133, 197–199 (2011)."
cui2023_022,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,3_57_m_litfsi_dme,3.57 M LiTFSI DME,Aurbach,1.0,1.0,12.0,92.8,1.1426675035687313,41.0,1.0,,,9.631602308033731,,,3.57,0.0,,0.4690537390648834,0.7345268695324417,0.6385794155678151,1.4381074781297667,0.10140814491778125,0.0,0.10140814491778125,0.15880271497259377,0.09119728502740626,0.0676054299451875,0.2161972850274063,0.18239457005481252,0.03380271497259375,"Yang, H. et al. Dissolution–Precipitation Dynamics in Ester Electrolyte for High-Stability Lithium Metal Batteries. ACS Energy Lett. 6, 1413–1421 (2021)."
cui2023_023,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lifsi_ec_dec_v_1_1,1M LiFSI EC/DEC (v 1:1),Aurbach,0.5,1.0,10.0,93.0,1.1549019599857435,,0.5,0.5,,4.126809447219165,7.494719629352049,,1.0,,,0.0463841189088739,0.9013498177036698,0.051460729228353014,1.0173101149758546,0.01256046558333769,0.0,0.01256046558333769,0.24407865515472185,0.21895772398804647,0.02512093116667538,0.27079237201883566,0.27079237201883566,0.0,
cui2023_024,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_1m_lidfp_0_4m_litfsi_ec_dmc_3_7_v_v,0.1M LiDFP 0.4M LiTFSI EC-DMC (3:7 v/v),Aurbach,0.4,0.8,10.0,93.6,1.1938200260161125,1.0,0.3,0.7,,4.496831777611229,8.315015875130442,,0.1,0.4,,0.06626644628744607,1.025487094725941,0.06461948339306564,1.12488676415711,0.017133611588737205,0.0,0.017133611588737205,0.2651462173492991,0.2532844862494041,0.011861731099894987,0.2585563667382463,0.2532844862494041,0.005271880488842216,"Zheng, H. et al. Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries. Adv. Energy Mater. 10, 2001440 (2020)."
cui2023_025,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_84_m_litfsi_2_7m_lidfp_dme,0.84 M LiTFSI 2.7M LiDFP DME,Aurbach,1.0,1.0,12.0,93.9,1.2146701649892333,41.0,1.0,,,9.631602308033731,,,0.84,2.7,,0.25966009398461387,0.6969835195745346,0.37254839848024,1.0864736605514556,0.05681767564396759,0.0,0.05681767564396759,0.1525108573161165,0.10483625591370692,0.04767460140240958,0.21881558606897183,0.20967251182741384,0.009143074241558002,"Yang, H. et al. Dissolution–Precipitation Dynamics in Ester Electrolyte for High-Stability Lithium Metal Batteries. ACS Energy Lett. 6, 1413–1421 (2021)."
cui2023_026,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lifsi_in_tetraglyme,1 M LiFSI in tetraglyme,Cycle,0.1,0.2,30.0,94.0,1.2218487496163568,42.0,1.0,,,4.539401464845507,,,1.0,,,0.04405867195242815,0.5881173439048563,0.07491476388010726,0.6982640237859267,0.011238616070074245,0.0,0.011238616070074245,0.1500187077684767,0.1275414756283282,0.02247723214014849,0.2550829512566564,0.2550829512566564,0.0,"Amanchukwu, C. V. et al. A New Class of Ionically Conducting Fluorinated Ether Electrolytes with High Electrochemical Stability. J. Am. Chem. Soc. 142, 7393–7403 (2020)."
cui2023_027,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_dmc_1_1_v_0_25wt_12_crown_4,1 M LiPF6 FEC-DMC (1:1 v) 0.25wt% 12-Crown-4,Cycle,1.0,1.0,50.0,94.05,1.2254830342714504,38.0,0.5,0.5,0.0025,6.8549983970430155,5.9392970536646015,0.015464678107690913,1.0,,,0.3338388000015344,0.9983935557446452,0.33437595633571865,1.3582019272459571,0.08670895810289687,0.0462380274540799,0.040470930648816975,0.25931576855316635,0.25931576855316635,0.0,0.2597330151633014,0.2597330151633014,0.0,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021)."
cui2023_028,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_11_m_litfsi_3_9_m_lidfp_dme,0.11 M LiTFSI 3.9 M LiDFP DME,Aurbach,1.0,1.0,12.0,94.3,1.2441251443275083,41.0,1.0,,,9.631602308033731,,,0.11,3.9,,0.2183428133769766,0.7098258951246833,0.30760051848858516,1.0373401151901482,0.04719253586437422,0.0,0.04719253586437422,0.15342150948333172,0.1074562026839885,0.045965306799343214,0.21613963443300802,0.214912405367977,0.0012272290650310082,"Yang, H. et al. Dissolution–Precipitation Dynamics in Ester Electrolyte for High-Stability Lithium Metal Batteries. ACS Energy Lett. 6, 1413–1421 (2021)."
cui2023_029,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_ec_dec_2_9_9_vol_0_05_m_rbno3_0_05m_18_crown_6,1 M LiPF6 FEC-EC-DEC (2:9:9 vol) 0.05 M RbNO3 0.05M 18-crown-6,Cycle,0.5,1.0,150.0,94.4,1.2518119729938,39.0,0.1,0.45,0.45,1.3709996794086032,6.7452476664168435,3.714128502497249,1.0,0.05,,0.16937279227711274,0.8258647937381958,0.2050853766395144,1.0205136787582363,0.04654384825355682,0.00865711624060047,0.03788673201295635,0.2269486445899482,0.2260014762896243,0.0009471683003239088,0.2748012099688709,0.2748012099688709,0.0,"Gu, S. et al. Nitrate Additives Coordinated with Crown Ether Stabilize Lithium Metal Anodes in Carbonate Electrolyte. Adv. Funct. Mater. 31, 2102128 (2021)."
cui2023_030,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_1m_lidfp_0_4m_lifsi_ec_dmc_3_7_v_v,0.1M LiDFP 0.4M LiFSI EC-DMC (3:7 v/v),Aurbach,0.4,0.8,10.0,94.5,1.2596373105057566,1.0,0.3,0.7,,4.496831777611229,8.315015875130442,,0.1,0.4,,0.026017584845539562,1.0468316527219714,0.024853647458871392,1.1066720978667122,0.006695748163354539,0.0,0.006695748163354539,0.2694070628641078,0.2573547161700696,0.012052346694038171,0.2573547161700696,0.2573547161700696,0.0,"Zheng, H. et al. Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries. Adv. Energy Mater. 10, 2001440 (2020)."
