literature_id,reference_short,doi,year,source_dataset,formulation_id,cell_type,salt_name,salt_name_2,salt_name_3,salt_concentration_m,salt_concentration_2_m,salt_concentration_3_m,anion_name,solvent_1,solvent_1_fraction,solvent_2,solvent_2_fraction,solvent_3,solvent_3_fraction,additive_1,additive_1_fraction,additive_2,additive_2_fraction,temperature_c,current_density_ma_cm2,areal_capacity_mah_cm2,ce_mean,ce_std,ce_metric_definition,cycle_count,interfacial_resistance_ohm_cm2,conductivity_ms_cm,viscosity_cp,transference_number,substrate_type,separator_type,usable_for_md,pilot_priority,raw_source_location,notes,raw_electrolyte_text,raw_reference_id,fc,oc,fo,inor,f_total,f_solvent,f_anion,o_total,o_solvent,o_anion,c_total,c_solvent,c_anion,in_pilot_window,ce_bin
cui2023_101,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,6_m_lifsi_dmc,Li|Cu,LiFSI,,,6.0,,,FSI,DMC,1.0,,,,,,,,,,0.5,1.0,98.7,,Cycle,200.0,,,,,,,yes,high,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018).",,6 M LiFSI DMC,52.0,0.3367401869158879,1.6734803738317758,0.2012214736315385,2.5153308411214956,0.0592466406645663,0.0,0.0592466406645663,0.2944349804984247,0.1759416991692921,0.1184932813291326,0.1759416991692921,0.1759416991692921,0.0,True,high
cui2023_104,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lifsi_0_3_m_lino3_fec_gbl_1_2_v_v,Li|Cu,LiFSI,LiNO3,,1.0,0.3,,FSI,FEC,0.333,EC,0.667,GBL,,,,,,,0.5,1.0,98.8,,Cycle,200.0,,,,,,,yes,high,"Jie, Y. et al. Enabling High-Voltage Lithium Metal Batteries by Manipulating Solvation Structure in Ester Electrolyte. Angew. Chemie Int. Ed. 59, 3505–3510 (2020).",,1M LiFSI+0.3 M LiNO3-FEC/GBL (1:2 v/v),9.0,0.1348017382123737,0.7412135090036525,0.1818662727741912,0.9437710238269752,0.0404827500732151,0.0281506540320117,0.0123320960412034,0.2225962486374774,0.192382613336529,0.0302136353009483,0.3003132645770228,0.3003132645770228,0.0,True,high
cui2023_105,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,8_m_lifsi_pc,Li|Cu,LiFSI,,,8.0,,,FSI,PC,1.0,,,,,,,,,,0.5,1.0,98.8,,Cycle,200.0,,,,,,,yes,high,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018).",,8 M LiFSI PC,52.0,0.3402933333333333,1.4305866666666665,0.237869778365985,2.2813199999999996,0.0687257647565704,0.0,0.0687257647565704,0.2889218009478673,0.1514702714347264,0.1374515295131408,0.2019603619129685,0.2019603619129685,0.0,True,high
cui2023_106,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lifsi_dol_dme_1_1_vol,Li|Cu,LiFSI,,,1.0,,,FSI,DOL,0.5,DME,0.5,,,,,,,,0.5,1.0,98.9,,Aurbach,10.0,,,,,,,yes,high,"Holoubek, J. et al. Tailoring electrolyte solvation for Li metal batteries cycled at ultra-low temperature. Nat. Energy 6, 303–313 (2021).",,1 M LiFSI DOL-DME (1:1 vol),61.0,0.0491073908774235,0.6860509718687625,0.0715797993021683,0.8088194490623214,0.0120660994936343,0.0,0.0120660994936343,0.1685685013267254,0.1444363023394568,0.0241321989872686,0.2457084214421484,0.2457084214421484,0.0,True,high
cui2023_116,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,2_m_lifsi_1_m_litfsi_3wt_lino3_dol_dme_1_1_v,Li|Cu,LiTFSI,LiFSI,LiNO3,2.0,1.0,,TFSI,DOL,0.5,DME,0.5,,,,,,,,0.5,1.0,99.1,,Cycle,450.0,,,,,,,yes,high,"Qiu, F. et al. A Concentrated Ternary-Salts Electrolyte for High Reversible Li Metal Battery with Slight Excess Li. Adv. Energy Mater. 9, 1803372 (2019).",,2 M LiFSI 1 M LiTFSI 3wt% LiNO3 DOL-DME (1:1 v),12.0,0.2340436799151347,0.8739184710136284,0.2678095127611566,1.329516707527672,0.0515236763779436,0.0206094705511774,0.0309142058267662,0.1923892689498844,0.1645709705281209,0.0278182984217634,0.220145557430247,0.2098408221546583,0.0103047352755887,True,high
cui2023_125,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,10_m_lifsi_dmc,Li|Cu,LiFSI,,,10.0,,,FSI,DMC,1.0,,,,,,,,,,0.5,1.0,99.2,,Cycle,200.0,,,,,,,yes,high,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018).",,10 M LiFSI DMC,52.0,0.5612336448598132,2.1224672897196264,0.2644251092010709,3.5255514018691594,0.0824595611457446,0.0,0.0824595611457446,0.3118446708593085,0.1469255485678191,0.1649191222914893,0.1469255485678191,0.1469255485678191,0.0,True,high
cui2023_121,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,5_5m_lifsi_dmc,Li|Cu,LiFSI,,,5.5,,,FSI,DMC,1.0,,,,,,,,,,0.5,1.0,99.2,,Aurbach,10.0,,,,,,,yes,high,"Chen, S. et al. High-Voltage Lithium-Metal Batteries Enabled by Localized High-Concentration Electrolytes. Adv. Mater. 30, 1–7 (2018).",,5.5M LiFSI DMC,23.0,0.3086785046728972,1.6173570093457943,0.19085365994596,2.3890532710280374,0.0556840424653077,0.0,0.0556840424653077,0.2917630318489808,0.1803949469183653,0.1113680849306154,0.1803949469183653,0.1803949469183653,0.0,True,high
cui2023_126,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,4_5_m_lifsi_dme_1_1,Li|Cu,LiFSI,,,4.5,,,FSI,DME,1.0,,,,,,,,,,0.5,1.0,99.22,,Cycle,500.0,,,,,,,yes,high,"Huang, F. et al. Enhancing metallic lithium battery performance by tuning the electrolyte solution structure. J. Mater. Chem. A 6, 1612–1620 (2018).",,4.5 M LiFSI/DME (1 : 1),19.0,0.2336059907834101,0.9672119815668204,0.2415251208995402,1.5512269585253458,0.0452021356041775,0.0,0.0452021356041775,0.1871529364557441,0.096748665247389,0.0904042712083551,0.193497330494778,0.193497330494778,0.0,True,high
cui2023_131,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,10_m_lifsi_ec_dmc,Li|Cu,LiFSI,,,10.0,,,FSI,EC,0.5,DMC,0.5,,,,,,,,0.5,1.0,99.3,,Cycle,240.0,,,,,,,yes,high,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018).",,10 M LiFSI EC-DMC,52.0,0.4962526714065123,1.9925053428130248,0.2490596440288091,3.2331370213293056,0.0812285786990745,0.0,0.0812285786990745,0.326141069605314,0.1636839122071648,0.1624571573981491,0.1636839122071648,0.1636839122071648,0.0,True,high
cui2023_041,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,lifsi_1_4dme_3tfeb,Li|Cu,LiFSI,,,,,,FSI,DME,,,,,,,,,,,0.5,1.0,95.4,,Aurbach,10.0,,,,,,,yes,medium,"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021).",,LiFSI-1.4DME-3TFEB,44.0,1.2288135593220335,0.6694915254237288,1.8354430379746831,2.1525423728813555,0.2700186219739292,0.2513966480446927,0.0186219739292364,0.1471135940409683,0.1098696461824953,0.0372439478584729,0.2197392923649906,0.2197392923649906,0.0,True,mid
